SkinID,name,region,desc,WeaponID,damage,ammo_clip_size,fire_interval,multi_fire_interval,bite_armor,range,full_damage_distance,min_damage_distance,min_damage,scatter_num,scatter_speed,scatter_move,scatter_max,scatter_recover_speed,player_speed_factor,player_speed_factor_while_firing,once_ammo,reload_speed,buff_id,damage_ratio_head,damage_ratio_body,damage_ratio_limb,sight_shoot_mindmg_numx
907100086,SPAS12_聖誕,DEFAULT,,29,,,-0.04,,,,,,,,0.2,,,,,,,,,,,,
907100087,M4A1_火焰狼,DEFAULT,,2,,,,,,,,,,,-0.02,,,,,,,,6,,,,
907100088,MP40_火焰狼,DEFAULT,,15,,,,,,,,,,,-0.018,,,,,,,,6,,,,
907100089,SKS_火焰狼,DEFAULT,,18,,,,,,,,,,,-0.03,,,,,,,,6,,,,
907100090,SPAS12_火焰狼,DEFAULT,,29,,,,,,,,,,,-0.2,,,,,,,,6,,,,
907101304,情人節特效Scar,DEFAULT,,12,2,,-0.018,,,,-2,-1,,,,,,,,,,,,,,,
907101305,春節特效MP40,DEFAULT,,15,,,,,,,2,1,,,-0.025,,-0.5,,,,,-0.1,,,,,
907101306,狂歡節特效M4A1,DEFAULT,,2,2,6,0.01,,,,,,,,,,,,,,,,,,,,
907101307,黑客女主題槍AK,DEFAULT,,6,,-2,,,,,,,,,-0.05,,-0.4,,,,,,,,,,
907101308,黑客女主題槍FAMAS,DEFAULT,,24,,-2,,,,,,,,,-0.03,,-0.3,,,,,,,,,,
907101309,黑客女主題槍SPAS12,DEFAULT,,29,,-1,,,,,,,,,-0.3,,-0.6,,,,,,,,,,
907101310,黑客女主題槍SKS,DEFAULT,,18,,-1,,,,,,,,,-0.05,,,,,,,,,,,,
907101311,羅馬兵團主題槍AK,DEFAULT,,6,4,,,,,,,,,,0.025,,,,,,,,,,,,
907101312,羅馬兵團主題槍MP5,DEFAULT,,8,2,,,,,,,,,,0.01,,,,,,,,,,,,
907101313,羅馬兵團主題槍KAR98K,DEFAULT,,21,7,,,,,,,,,,0.02,,,,,,,,,,,,
907101314,羅馬兵團主題槍FAMAS,DEFAULT,,24,4,,,,,,,,,,0.015,,,,,,,,,,,,
907101316,皇金M60特效槍,DEFAULT,,30,,,,,,,,,,,,,,,,,,,,,,,
907101317,紅色MP5槍,DEFAULT,,8,,,,,,,,,,,,,,,,,,,,,,,
907101318,瘟疫醫生SPAS12槍,DEFAULT,,29,,,,,,,,,,,,,,,,,,,,,,,
907101322,情人節特效Scar（弱化版）,DEFAULT,,12,,,-0.018,,,,-2,-1,,,,,,,,,,,,,,,
907101323,春節特效MP40（弱化版）,DEFAULT,,15,,,-0.008,,,,,,,,,,,,,,,-0.1,,,,,
907101324,狂歡節特效M4A1（弱化版）,DEFAULT,,2,,6,0.01,,,,,,,,,,,,,,,,,,,,
907101325,傳奇獅鷲M4A1（弱化版）,DEFAULT,,2,4,-2,,,,,,,,,,,,,,,,,,,,,
907101326,皇金M60特效槍（弱化版）,DEFAULT,,30,,,,,,,,,,,-0.05,,0.5,,,,,-0.1,,,,,
907101403,復活節MP40,DEFAULT,,15,2,-2,,,,,3,4,,,,,,,,,,,,,,,
907101404,血月SCAR,DEFAULT,,12,4,,,,,,2,2,,,0.015,,,,,,,,,,,,
907101405,潑水節AK47,DEFAULT,,6,2,6,,,,,-2,-1,,,,,,,,,,,,,,,
907101406,魔法少女M4A1,DEFAULT,,2,2,,,,,,,,,,-0.035,,,,,,,-0.1,,,,,
907101407,AK武士男主題槍,DEFAULT,,6,,5,0.01,,,,,,,,,,,,,,,,,,,,
907101408,SKS武士男主題槍,DEFAULT,,18,,3,0.02,,,,,,,,,,,,,,,,,,,,
907101409,MP5武士男主題槍,DEFAULT,,8,,6,0.007,,,,,,,,,,,,,,,,,,,,
907101410,SPAS12武士男主題槍,DEFAULT,,29,,1,0.03,,,,,,,,,,,,,,,,,,,,
907101411,SCAR鯊魚主題槍,DEFAULT,,12,,,,,,,,,,,-0.045,,,,,,,-0.1,,,,,
907101412,M1014鯊魚主題槍,DEFAULT,,5,,,,,,,,,,,-0.33,,,,,,,-0.1,,,,,
907101413,FAMAS鯊魚主題槍,DEFAULT,,24,,,,,,,,,,,-0.04,,,,,,,-0.1,,,,,
907101414,VSS鯊魚主題槍,DEFAULT,,13,,,,,,,,,,,-0.05,,,,,,,-0.1,,,,,
907101416,孵化室獨角獸AK---5獎,DEFAULT,,6,,5,,,,,-2,-2,,,,,,,,,,,,,,,
907101417,孵化室獨角獸AK---3獎,DEFAULT,,6,,2,-0.022,,,,-2,-2,,,,,,,,,,,,,,,
907101418,孵化室獨角獸AK---2獎,DEFAULT,,6,2,,,,,,,,,,0.03,,,,,,,0.2,,,,,
907101419,孵化室獨角獸AK---大獎,DEFAULT,,6,5,-2,,,,,,,,,-0.035,,,,,,,,,,,,
907101420,孵化室獨角獸AK---4獎,DEFAULT,,6,2,-2,,,,,4,3,,,,,,,,,,,,,,,
907101421,M4A1_GW主題槍,DEFAULT,,2,4,,,,,,,,,,0.015,,,,,,,,,,,,
907101422,M1014_GW主題槍,DEFAULT,,5,3,,,,,,,,,,0.2,,,,,,,,,,,,
907101423,FAMAS_GW主題槍,DEFAULT,,24,4,,,,,,,,,,0.013,,,,,,,,,,,,
907101424,KAR98K_GW主題槍,DEFAULT,,21,14,,,,,,,,,,,,,,,,,,,,,,
907101425,月卡黃金AK,DEFAULT,,6,,,-0.02,,,,,,,,,,,,,,,-0.1,,,,,
907101429,獅鷲M4A1红,DEFAULT,,2,4,-2,,,,,,,,,-0.015,,,,,,,,,,,,
907101430,獅鷲M4A1蓝,DEFAULT,,2,,,,,,,-2,-2,,,-0.03,,,,,,,0.1,,,,,
907101431,獅鷲M4A1紫,DEFAULT,,2,2,6,,,,,-2,-2,,,,,,,,,,,,,,,
907101315,獅鷲M4A1金,DEFAULT,,2,,,-0.018,,,,2,1,,,,,,,,,,-0.1,,,,,
907101432,復活節MP40（弱化）,DEFAULT,,15,,-2,,,,,3,4,,,,,,,,,,,,,,,
907101433,血月SCAR（弱化）,DEFAULT,,12,,,,,,,4,4,,,0.015,,,,,,,,,,,,
907101434,潑水節AK47（弱化）,DEFAULT,,6,,6,,,,,-2,-2,,,,,,,,,,,,,,,
907101435,魔法少女M4A1（弱化）,DEFAULT,,2,,,,,,,,,,,-0.03,,,,,,,-0.1,,,,,
907101436,孵化室獨角獸AK---3獎（弱化）,DEFAULT,,6,,,-0.02,,,,-2,-2,,,,,,,,,,,,,,,
907101437,孵化室獨角獸AK---2獎（弱化）,DEFAULT,,6,,,,,,,,,,,0.025,,,,,,,0.25,,,,,
907101438,孵化室獨角獸AK---大獎（弱化）,DEFAULT,,6,,-2,,,,,,,,,-0.05,,,,,,,,,,,,
907101439,孵化室獨角獸AK---4獎（弱化）,DEFAULT,,6,,-2,,,,,4,4,,,,,,,,,,,,,,,
907101440,暗影神偷FAMAS特效槍,DEFAULT,,24,2,-2,,,,,,,,,-0.03,,-0.3,,,,,,,,,,
907101441,暗影神偷VSS,DEFAULT,,13,,-1,,,,,,,,,-0.05,,-0.15,,,,,,,,,,
907101445,暗影神偷FAMAS（弱化版）,DEFAULT,,24,,-2,,,,,,,,,-0.03,,-0.3,,,,,,,,,,
907101446,暗影神偷VSS（弱化版）,DEFAULT,,13,,-1,,,,,,,,,-0.05,,-0.15,,,,,,,,,,
907101506,機甲娘特效槍MP40,DEFAULT,,15,3,,,,,,1,1,,,,,,,,,,-0.1,,,,,
907101507,機甲娘特效槍M79,DEFAULT,,23,,1,,,,,,,,,,,,,,,,-0.15,,,,,
907101503,天啟飢餓UMP,DEFAULT,,7,3,-2,,,,,2,1,,,,,,,,,,,,,,,
907101504,天啟死亡M1014,DEFAULT,,5,1,2,,,,,,,,,,,,,,,,-0.055,,,,,
907101505,天啟戰爭AN94,DEFAULT,,33,4,,,,,,,,,,-0.02,,-0.2,,,,,,,,,,
907101508,天啟瘟疫M4A1,DEFAULT,,2,2,,-0.022,,,,-2,-1,,,,,,,,,,,,,,,
907101509,星空靈獸M4A1,DEFAULT,,2,,,,,,,,,,,-0.03,,-0.3,,,,,-0.1,,,,,
907101510,星空靈獸MP5,DEFAULT,,8,,,,,,,,,,,-0.025,,-0.33,,,,,-0.1,,,,,
907101511,星空靈獸SPAS12,DEFAULT,,29,,,,,,,,,,,-0.5,,-1,,,,,-0.1,,,,,
907101512,星空靈獸Kar98,DEFAULT,,21,,,,,,,,,5,,,,,,,,,-0.1,,,,,
907101513,人狼主題AK47,DEFAULT,,6,,-2,-0.02,,,,,,,,,,,,,,,,,,,,
907101514,人狼主題M1014,DEFAULT,,5,,-1,-0.066,,,,,,,,,,,,,,,,,,,,
907101515,人狼主題VSS,DEFAULT,,13,,-2,-0.05,,,,,,,,,,,,,,,,,,,,
907101516,人狼主題MP5,DEFAULT,,8,,-2,-0.008,,,,,,,,,,,,,,,,,,,,
907101517,孵化室SCAR2奖,DEFAULT,,12,2,-2,-0.018,,,,,,,,,,,,,,,,,,,,
907101518,孵化室SCAR4奖,DEFAULT,,12,2,,,,,,5,2,,,,,,,,,,-0.1,,,,,
907101519,孵化室SCAR3奖,DEFAULT,,12,,,-0.01,,,,-2,-1,,,,,,,,,,0.25,,,,,
907101520,孵化室SCAR大奖,DEFAULT,,12,4,,,,,,,,,,-0.03,,-0.3,,,,,-0.1,,,,,
907101521,孵化室SCAR5奖,DEFAULT,,12,,,,,,,-2,-1,,,-0.055,,-0.5,,,,,,,,,,
907101536,機甲娘特效槍MP40弱化,DEFAULT,,15,1,,,,,,1,1,,,,,,,,,,-0.1,,,,,
907101537,機甲娘特效槍M79弱化,DEFAULT,,23,,1,,,,,,,,,,,,,,,,-0.15,,,,,
907101533,天啟飢餓UMP弱化,DEFAULT,,7,,-2,,,,,4,2,,,,,,,,,,,,,,,
907101534,天啟死亡M1014弱化,DEFAULT,,5,,2,,,,,,,,,,,,,,,,-0.055,,,,,
907101535,天啟戰爭AN94弱化,DEFAULT,,33,,,,,,,,,,,-0.04,,-0.4,,,,,,,,,,
907101538,天啟瘟疫M4A1弱化,DEFAULT,,2,2,,-0.015,,,,-2,-1,,,,,,,,,,,,,,,
907101539,星空靈獸M4A1弱化,DEFAULT,,2,,,,,,,,,,,-0.03,,-0.3,,,,,-0.1,,,,,
907101540,星空靈獸MP5弱化,DEFAULT,,8,,,,,,,,,,,-0.025,,-0.33,,,,,-0.1,,,,,
907101541,星空靈獸SPAS12弱化,DEFAULT,,29,,,,,,,,,,,-0.5,,-1,,,,,-0.1,,,,,
907101542,星空靈獸Kar98弱化,DEFAULT,,21,,,,,,,,,5,,,,,,,,,-0.1,,,,,
907101543,人狼主題AK47弱化,DEFAULT,,6,,-2,-0.02,,,,,,,,,,,,,,,,,,,,
907101544,人狼主題M1014弱化,DEFAULT,,5,,-1,-0.066,,,,,,,,,,,,,,,,,,,,
907101545,人狼主題VSS弱化,DEFAULT,,13,,-2,-0.05,,,,,,,,,,,,,,,,,,,,
907101546,人狼主題MP5弱化,DEFAULT,,8,,-2,-0.008,,,,,,,,,,,,,,,,,,,,
907101547,孵化室SCAR2奖弱化,DEFAULT,,12,,-2,-0.018,,,,,,,,,,,,,,,,,,,,
907101548,孵化室SCAR4奖弱化,DEFAULT,,12,,,,,,,5,2,,,,,,,,,,-0.1,,,,,
907101549,孵化室SCAR3奖弱化,DEFAULT,,12,,,,,,,-2,-1,,,,,,,,,,0.25,,,,,
907101550,孵化室SCAR大奖弱化,DEFAULT,,12,2,,,,,,,,,,-0.03,,-0.3,,,,,-0.1,,,,,
907101551,孵化室SCAR5奖弱化,DEFAULT,,12,,,,,,,-2,-1,,,-0.055,,-0.5,,,,,,,,,,
907101610,強質裝甲M1014特效槍强化,DEFAULT,,5,2,,,,,,-1,-1,,,,,,,,,,0.3,,,,,
907101609,強質裝甲UMP特效槍强化,DEFAULT,,7,,8,,,,,,,,,,,,,,,,-0.1,,,,,
907101611,火元素AK47特效槍强化,DEFAULT,,6,5,-2,,,,,3,2,,,,,,,,,,,,,,,
907101612,電元素MP40特效槍强化,DEFAULT,,15,1,5,,,,,,,,,,,,,,,,-0.1,,,,,
907101613,水元素SCAR特效槍强化,DEFAULT,,12,4,,,,,,-2,-1,,,-0.03,,-0.3,,,,,,,,,,
907101614,土元素M4A1特效槍强化,DEFAULT,,2,2,-2,-0.03,,,,,,,,,,,,,,,,,,,,
907101620,Booyah主題槍AN94强化,DEFAULT,,33,,,,,,,,,,,-0.02,,-0.2,3.5,,,,-0.1,,,,,
907101621,Booyah主題槍M14强化,DEFAULT,,11,,,,,,,,,,,-0.02,,-0.3,,,,,-0.1,,,,,
907101622,Booyah主題槍GROZA强化,DEFAULT,,14,,,,,,,,,,,-0.05,,-0.4,,,,,-0.1,,,,,
907101623,Booyah主題槍UMP强化,DEFAULT,,7,,,,,,,,,,,-0.1,,-0.6,,,,,-0.1,,,,,
907101603,怪獸主題槍M60强化,DEFAULT,,30,,-5,-0.025,,,,,,,,,,,,,,,,,,,,
907101604,怪獸主題槍UMP强化,DEFAULT,,7,,-2,-0.013,,,,,,,,,,,,,,,,,,,,
907101605,怪獸主題槍XM8强化,DEFAULT,,28,,-2,-0.025,,,,,,,,,,,,,,,,,,,,
907101606,怪獸主題槍M14强化,DEFAULT,,11,,-1,-0.06,,,,,,,,,,,,,,,,,,,,
907101624,母親節粉紅惡魔主題槍SCAR强化,DEFAULT,,12,,,0.008,,,,,,,,-0.06,,-0.5,,,,,,,,,,
907101625,母親節粉紅惡魔主題槍MP5强化,DEFAULT,,8,,,0.005,,,,,,,,-0.05,,-0.45,,,,,,,,,,
907101626,母親節粉紅惡魔主題槍M60强化,DEFAULT,,30,,,0.01,,,,,,,,-0.05,,-0.5,,,,,,,,,,
907101627,母親節粉紅惡魔主題槍M79强化,DEFAULT,,23,,1,,,,,,,,,,,,,,,,-0.2,,,,,
907101617,黑寡婦FAMAS大奖强化,DEFAULT,,24,5,,,,,,,,,,-0.03,,-0.3,,,,,-0.1,,,,,
907101616,黑寡婦FAMAS二奖强化,DEFAULT,,24,2,-2,-0.015,,,,,,,,,,,,,,,,,,,,
907101618,黑寡婦FAMAS三奖强化,DEFAULT,,24,,,-0.008,,,-1,-2,-2,,,,,,,,,,0.25,,,,,
907101619,黑寡婦FAMAS四奖强化,DEFAULT,,24,2,,,,,5,4,2,,,,,,,,,,-0.1,,,,,
907101615,黑寡婦FAMAS五奖强化,DEFAULT,,24,,,,,,,-2,-2,,,-0.05,,-0.5,,,,,,,,,,
907201610,強質裝甲M1014特效槍弱化,DEFAULT,,5,,,,,,,-1,-1,,,,,,,,,,0.3,,,,,
907201609,強質裝甲UMP特效槍弱化,DEFAULT,,7,,8,,,,,,,,,,,,,,,,-0.1,,,,,
907201611,火元素AK47特效槍弱化,DEFAULT,,6,2,-2,,,,,3,2,,,,,,,,,,,,,,,
907201612,電元素MP40特效槍弱化,DEFAULT,,15,1,2,,,,,,,,,,,,,,,,-0.1,,,,,
907201613,水元素SCAR特效槍弱化,DEFAULT,,12,,,,,,,-2,-1,,,-0.06,,-0.5,,,,,,,,,,
907201614,土元素M4A1特效槍弱化,DEFAULT,,2,,-2,-0.03,,,,,,,,,,,,,,,,,,,,
907201620,Booyah主題槍AN94弱化,DEFAULT,,33,,,,,,,,,,,-0.02,,-0.2,3.5,,,,-0.1,,,,,
907201621,Booyah主題槍M14弱化,DEFAULT,,11,,,,,,,,,,,-0.02,,-0.3,,,,,-0.1,,,,,
907201622,Booyah主題槍GROZA弱化,DEFAULT,,14,,,,,,,,,,,-0.05,,-0.4,,,,,-0.1,,,,,
907201623,Booyah主題槍UMP弱化,DEFAULT,,7,,,,,,,,,,,-0.1,,-0.6,,,,,-0.1,,,,,
907201603,怪獸主題槍M60弱化,DEFAULT,,30,,-5,-0.025,,,,,,,,,,,,,,,,,,,,
907201604,怪獸主題槍UMP弱化,DEFAULT,,7,,-2,-0.013,,,,,,,,,,,,,,,,,,,,
907201605,怪獸主題槍XM8弱化,DEFAULT,,28,,-2,-0.025,,,,,,,,,,,,,,,,,,,,
907201606,怪獸主題槍M14弱化,DEFAULT,,11,,-1,-0.06,,,,,,,,,,,,,,,,,,,,
907201624,母親節粉紅惡魔主題槍SCAR弱化,DEFAULT,,12,,,0.008,,,,,,,,-0.06,,-0.5,,,,,,,,,,
907201625,母親節粉紅惡魔主題槍MP5弱化,DEFAULT,,8,,,0.005,,,,,,,,-0.05,,-0.45,,,,,,,,,,
907201626,母親節粉紅惡魔主題槍M60弱化,DEFAULT,,30,,,0.01,,,,,,,,-0.05,,-0.5,,,,,,,,,,
907201627,母親節粉紅惡魔主題槍M79弱化,DEFAULT,,23,,1,,,,,,,,,,,,,,,,-0.2,,,,,
907201617,黑寡婦FAMAS大奖弱化,DEFAULT,,24,2,,,,,,,,,,-0.03,,-0.3,,,,,-0.1,,,,,
907201616,黑寡婦FAMAS二奖弱化,DEFAULT,,24,2,-2,-0.008,,,,,,,,,,,,,,,,,,,,
907201618,黑寡婦FAMAS三奖弱化,DEFAULT,,24,,,,,,-1,-2,-2,,,,,,,,,,0.25,,,,,
907201619,黑寡婦FAMAS四奖弱化,DEFAULT,,24,,,,,,5,4,2,,,,,,,,,,-0.1,,,,,
907201615,黑寡婦FAMAS五奖弱化,DEFAULT,,24,,,,,,,-2,-2,,,-0.05,,-0.5,,,,,,,,,,
907101703,火線刺客SCAR特效槍强化,DEFAULT,,12,2,-2,,,,,,,,,-0.055,,-0.5,,,,,,,,,,
907101704,火線刺客SKS特效槍强化,DEFAULT,,18,,-1,,,,,,,6,,,,,,,,,,,,,,
907101705,吸血鬼FAMAS特效槍强化,DEFAULT,,24,5,2,,,,-1,,,,,,,,,,,,,,,,,
907101706,吸血鬼MP5特效槍强化,DEFAULT,,8,3,,,,,-1,,,,,,,,,,,,,,,,,
907101709,鐵血戰士AK47特效槍强化,DEFAULT,,6,,,-0.015,,,,,,,,-0.035,,,,,,,-0.1,,,,,
907101710,鐵血戰士SPAS12特效槍强化,DEFAULT,,29,,,,,,,,,,,-0.4,,-0.2,,,,,-0.15,,,,,
907101720,小丑MP40特效槍强化,DEFAULT,,15,,4,-0.008,,,-1.5,,,,,,,,,,,,,,,,,
907101721,小丑XM8特效槍强化,DEFAULT,,28,,5,,,,-2,,,,,,,,,,,,,,,,,
907101707,陰陽P90特效槍强化,DEFAULT,,32,3,-4,,,,,,,,,,,,,,,,0.1,,,,,
907101708,陰陽CG15特效槍强化,DEFAULT,,35,3,-2,,,,,,,,,,,,,,,,,,,,,
907101722,人造女主題M4A1槍强化,DEFAULT,,2,,6,,,,,,,,,,,,,,,,-0.1,,,,,
907101723,人造女主題M79槍强化,DEFAULT,,23,,1,,,,,,,,,,,,,,,,-0.15,,,,,
907101724,人造女主題M1014槍强化,DEFAULT,,5,,2,,,,,,,,,,,,,,,,-0.1,,,,,
907101725,人造女主題SVD槍强化,DEFAULT,,26,,2,,,,,,,,,,,,,,,,-0.1,,,,,
907101716,花花公子主題SCAR槍强化,DEFAULT,,12,,-2,-0.018,,,,,,,,,,,,,,,,,,,,
907101717,花花公子主題AWM槍强化,DEFAULT,,4,,-1,-0.055,,,,,,,,,,,,,,,,,,,,
907101718,花花公子主題MP5槍强化,DEFAULT,,8,,-2,-0.01,,,,,,,,,,,,,,,,,,,,
907101719,花花公子主題P90槍强化,DEFAULT,,32,,-4,-0.01,,,,,,,,,,,,,,,,,,,,
907201703,火線刺客SCAR特效槍弱化,DEFAULT,,12,,-2,,,,,,,,,-0.055,,-0.5,,,,,,,,,,
907201704,火線刺客SKS特效槍弱化,DEFAULT,,18,,-1,,,,,,,6,,,,,,,,,,,,,,
907201705,吸血鬼FAMAS特效槍弱化,DEFAULT,,24,,4,,,,-1,,,,,,,,,,,,,,,,,
907201706,吸血鬼MP5特效槍弱化,DEFAULT,,8,,4,,,,-1.5,,,,,,,,,,,,,,,,,
907201709,鐵血戰士AK47特效槍弱化,DEFAULT,,6,,,-0.01,,,,,,,,-0.035,,,,,,,-0.1,,,,,
907201710,鐵血戰士SPAS12特效槍弱化,DEFAULT,,29,,,,,,,,,,,-0.08,,,,,,,-0.15,,,,,
907201720,小丑MP40特效槍弱化,DEFAULT,,15,,2,-0.01,,,-1.5,,,,,,,,,,,,,,,,,
907201721,小丑XM8特效槍弱化,DEFAULT,,28,,,-0.009,,,-1,,,,,,,,,,,,,,,,,
907201707,陰陽P90特效槍弱化,DEFAULT,,32,,-4,,,,,,,,,,,,,,,,0.2,,,,,
907201708,陰陽CG15特效槍弱化,DEFAULT,,35,,-2,,,,,,,,,,,,,,,,0.1,,,,,
907201722,人造女主題M4A1槍弱化,DEFAULT,,2,,6,,,,,,,,,,,,,,,,-0.1,,,,,
907201723,人造女主題M79槍弱化,DEFAULT,,23,,1,,,,,,,,,,,,,,,,-0.15,,,,,
