id,name,sort,hud_icon,sound_fire,mute_sound_fire,sound_fire_middle_range,sound_fire_long_range,sound_fire_middle_range_low,sound_fire_long_range_low,mute_sound_fire_low,sound_clip_in,sound_clip_out,sound_change_weapon,type,subtype,subsubtype,combine_type,damage,ammo_clip_size,initial_clip_count,fire_interval,ammo_id,attachment_slot,fire_type,bite_armor,range,full_damage_distance,min_damage_distance,min_damage,scatter_num,scatter_speed,scatter_move,scatter_max,scatter_recover_speed,player_speed_factor,player_speed_factor_while_firing,once_ammo,reload_speed,sight_equip,sight_default_equip,attachment_default_equip,sight_switch_music,sight_switch_time,sight_shoot_mindmg_numy,sight_ui_action_ratio,sight_ui_action_recovery,angle,delay,silencer,single_shot,repeat_fire_interval,damage_ratio_body,damage_ratio_head,damage_ratio_limb,knock_down_damage,armor_penetration_rate,buff_id,extra_damage_rate,fireShakeParam,canautoswitch,gunfireinterval,icewall_breakdown_rate,boost_damage,boost_damage_interval,sound_pull_bolt,bullet_effect,fire_effect,second_fire_effect,hd_anim_controller,hd_female_anim_controller,full_hd_anim_controller,full_hd_female_anim_controller,id_weaponskin,weapon_gold_type,ishealgun,ifautofire_enemy,pre_exchange_time,post_exchange_time,absolute_exchange_time,fire_vibrate,clip_vibrate,TagID,headshot_full_ratio_distance,headshot_min_ratio_distance,headshot_min_ratio
10,G18,10,Icon_HUD_G18,SOUND_G18_FIRE,SOUND_G18_SILENCER,SOUND_G18_MIDDLERANGE,SOUND_G18_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_G18_CLIPIN,SOUND_G18_CLIPOUT,SOUND_SWITCH_WEAPON_HAND,2,0,,,20,15,1,0.13,202,1,2,0,50,15,40,10,4,0.15,1.2,2,10,1.1,0.85,1,0.9,,,,SOUND_EQUIP,0.2,8,,,,,,FALSE,0.17,,,,,,,,0.01#0.015#0.08#0.6,TRUE,5,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_USP45_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_USP45_FEMALE_FULL_HD,,,,,0.2,0.2,,110,410,7;14,,,
11,M14,11,Icon_HUD_M14,SOUND_M14_FIRE,SOUND_M14_SILENCER,SOUND_M14_MIDDLERANGE,SOUND_M14_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_M14_CLIPIN,SOUND_M14_CLIPOUT,SOUND_SWITCH_WEAPON_SNIPER,0,0,,,59,15,1,0.31,201,0;1;2;3;5,1,0,220,42,88,30,10,0.15,1.15,2,10,1,0.55,1,0.8,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,15,,,,,,TRUE,,,,,,,,,0.01#0.025#0.16#0.6,TRUE,2,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,111,411,30;5,,,
12,SCAR,12,Icon_HUD_SCAR,SOUND_SCAR_FIRE,SOUND_SCAR_SILENCER,SOUND_SCAR_MIDDLERANGE,SOUND_SCAR_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_SCAR_CLIPIN,SOUND_SCAR_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,29,30,1,0.15,201,0;1;2;3,1,0,220,35,70,10,4,0.2,1.15,2.2,10,1,0.55,1,0.8,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,12,,,,,,FALSE,,,,,,,,,0.02#0.025#0.08#0.6,TRUE,5,,,,,EFFECT_BULLET_SCAR,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SCAR_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SCAR_FEMALE_FULL_HD,,,,,0.25,0.25,,112,412,77;8,,,
13,VSS,13,Icon_HUD_VSS,SOUND_VSS_FIRE,SOUND_VSS_FIRE,,,SOUND_VSS_FIRE,SOUND_VSS_FIRE,SOUND_VSS_FIRE,SOUND_VSS_CLIPIN,SOUND_VSS_CLIPOUT,SOUND_SWITCH_WEAPON_SNIPER,6,1,,,29,15,1,0.25,205,1;4;5,1,0,220,50,90,14,3,0.1,1,1.4,10,1,0.35,1,1,531;532;533;534;535;536;537,535,,SOUND_EQUIP,0.2,10,,,,,TRUE,FALSE,,,,,,,,,0.012#0.015#0.22#0.6,TRUE,3,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,113,413,38;30,,,
14,GROZA,14,Icon_HUD_GROZA,SOUND_GROZA_FIRE,SOUND_GROZA_SILENCER,SOUND_GROZA_MIDDLERANGE,SOUND_GROZA_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_GROZA_CLIPIN,SOUND_GROZA_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,37,30,1,0.168,201,0;1;2;3;4,1,0.2,220,40,90,14,7,0.23,1.2,2,10,1,0.3,1,0.9,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.25,18,,,,,,FALSE,,,,0.25,,,,,0.01#0.025#0.12#0.6,TRUE,5,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AUG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AUG_FEMALE_FULL_HD,,,,,0.25,0.25,,114,414,42;2;5,,,
15,MP40,15,Icon_HUD_MP40,SOUND_MP40_FIRE,SOUND_MP40_SILENCER,SOUND_MP40_MIDDLERANGE,SOUND_MP40_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_MP40_CLIPIN,SOUND_MP40_CLIPOUT,SOUND_SWITCH_WEAPON_SUB,6,0,,,23,20,1,0.07,205,1;2;4,1,0,220,11,24,10,5,0.15,1.1,4.1,10,1,0.65,1,0.9,,,,SOUND_EQUIP_2,0.2,,,,,,,FALSE,,,,,,,,,0.01#0.01#0.05#0.6,TRUE,8,,,,,EFFECT_BULLET_MP40,,,INGAME_WEAPON_OVERRIDE_ANIM_MP40_HD,INGAME_WEAPON_OVERRIDE_ANIM_MP40_FEMALE_HD,INGAME_WEAPON_OVERRIDE_ANIM_MP40_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MP40_FEMALE_FULL_HD,,,,,0.25,0.25,,115,415,9;31;27,12,20,-2
16,changuo,16,Icon_HUD_Changuo,SOUND_CHANGUO_FIRE,SOUND_CHANGUO_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_CHANGUO_FIRE,SOUND_CHANGUO_FIRE,SOUND_CHANGUO_FIRE,SOUND_KNIFE_FIRE,SOUND_KNIFE_FIRE,SOUND_SWITCH_WEAPON_PAN,3,1,,,38,0,0,0.5,,,0,0,1.55,1.55,1.55,38,1,1,1,1,1,1.2,1,1,0,,,,SOUND_EQUIP,0.15,,,,60,0.15,,FALSE,,,,,,,,,,FALSE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_CHANGUO_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_CHANGUO_FEMALE_FULL_HD,,,,,,0.2,0.4,,,58;26,,,
17,Machete 大砍刀,17,Icon_HUD_Machete,SOUND_MACHETE_FIRE,SOUND_MACHETE_FIRE,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_MACHETE_FIRE,SOUND_MACHETE_FIRE,SOUND_MACHETE_FIRE,SOUND_KNIFE_FIRE,SOUND_KNIFE_FIRE,SOUND_SWITCH_WEAPON_MACHETE,3,2,,,43,0,0,0.6,,,0,0,1.75,1.75,1.75,43,1,1,1,1,1,1.2,1,1,0,,,,SOUND_EQUIP,0.15,,,,63,0.15,,FALSE,,,,,,,,,,FALSE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MACHETE_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MACHETE_FEMALE_FULL_HD,,,,,,0.2,0.4,,,26,,,
18,SKS,18,Icon_HUD_SKS,SOUND_SKS_FIRE,SOUND_SKS_SILENCER,SOUND_SKS_MIDDLERANGE,SOUND_SKS_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_SKS_CLIPIN,SOUND_SKS_CLIPOUT,SOUND_SWITCH_WEAPON_SNIPER,0,3,,,68,10,1,0.48,201,0;1;2;4,1,0.1,220,50,96,20,10,0.25,1.15,2,10,1,0.55,1,0.8,531;532;533;534;535;536;537,535,,SOUND_EQUIP,0.2,30,,,,,,FALSE,,0.4,,,,,,,0.008#0.045#0.42#0.6,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,118,418,5;1;28,,,
19,M249,19,Icon_HUD_M249,SOUND_M249_FIRE,SOUND_M249_SILENCER,SOUND_M249_MIDDLERANGE,SOUND_M249_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_M249_CLIPIN,SOUND_M249_CLIPOUT,SOUND_SWITCH_WEAPON_MACHINEGUN,0,1,1,,33,100,1,0.16,201,3,1,0,220,45,83,21,12,0.12,1.2,1.6,10,1,0.4,1,0.9,531;532;533;534;535;536;537,532,524,SOUND_EQUIP,0.2,12,,,,,,FALSE,,,,,,,,0.5,0.008#0.015#0.13#0.6,TRUE,5,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MG_FEMALE_FULL_HD,,,,,0.25,0.25,,119,419,42;40;12,,,
20,M1873,20,Icon_HUD_M1873,SOUND_M1873_FIRE,SOUND_M1873_FIRE,SOUND_M1873_MIDDLERANGE,SOUND_M1873_MIDDLERANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_M1873_FIRE,SOUND_M1873_CLIPIN,SOUND_M1873_CLIPOUT,SOUND_SWITCH_WEAPON_SHOTGUN,2,1,,,25,2,1,0.5,204,,1,0,12,5,8,10,0,1,1.5,2,10,1.1,0.75,6,0.8,,,,SOUND_EQUIP,0.2,,,,,,,FALSE,,,,,,,,,0.02#0.09#0.2#0.6,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SG_FEMALE_FULL_HD,,,,,0.25,0.25,,120,420,31;27,8,13,-2
21,Kar98k,21,Icon_HUD_Kar98k,SOUND_Kar98k_FIRE,SOUND_98K_SILENCER,SOUND_KAR98K_MIDDLERANGE,SOUND_KAR98K_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_Kar98k_CLIPIN,SOUND_Kar98k_CLIPOUT,SOUND_SWITCH_WEAPON_SNIPER,1,1,,,84,5,1,1,203,0;5,1,0.4,220,60,85,60,5,0,1,1,10,1,0.8,1,0.6,531;532;533;534;535;536;537,536,,SOUND_EQUIP,0.2,12,,,,,,FALSE,,1,,0.25,,,,,0.006#0.09#0.75#0.6,TRUE,1,,,,SOUND_Weapon_Kar98k_Bolt,,,,INGAME_WEAPON_OVERRIDE_ANIM_SNIPER_Kar98k_HD,INGAME_WEAPON_OVERRIDE_ANIM_SNIPER_Kar98k_FEMALE_HD,INGAME_WEAPON_OVERRIDE_ANIM_Kar98k_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_Kar98k_FEMALE_FULL_HD,,,,,0.4,0.25,,121,421,3;6,,,
22,Crossbow,22,Icon_HUD_Crossbow,SOUND_Crossbow_FIRE,SOUND_Crossbow_FIRE,,,SOUND_Crossbow_FIRE,SOUND_Crossbow_FIRE,SOUND_Crossbow_FIRE,SOUND_Crossbow_CLIPIN,SOUND_Crossbow_CLIPOUT,SOUND_SWITCH_WEAPON_CROSSBOW,8,0,,,100,1,1,0.25,206,,1,1,100,25,35,75,0,0,1,1,10,1,0.8,1,0.8,531;532;533;534;535;536;537,534,,SOUND_EQUIP,0.2,0,,,,,TRUE,FALSE,,,,,,,1,,,TRUE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_CROSSBOW_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_CROSSBOW_FEMALE_FULL_HD,,,,,,0.2,0.4,,,42;38,,,
23,M79,23,Icon_HUD_M79,SOUND_M79_FIRE,SOUND_M79_FIRE,,,SOUND_M79_FIRE,SOUND_M79_FIRE,SOUND_M79_FIRE,SOUND_M79_CLIPIN,SOUND_M79_CLIPOUT,SOUND_SWITCH_WEAPON_M79,7,0,,,100,1,1,3,207,,1,0,220,50,50,20,0,0,1,1,10,1,0.8,1,1.1,,,,SOUND_EQUIP,0.2,,,,,,,FALSE,,,,,,,,,,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_M79_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_M79_FEMALE_FULL_HD,,,,,0.3,0.25,,123,423,42;50,,,
24,FAMAS,24,Icon_HUD_Famas,SOUND_FAMAS_FIRE,SOUND_FAMAS_SILENCER,SOUND_FAMAS_MIDDLERANGE,SOUND_FAMAS_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_FAMAS_CLIPIN,SOUND_FAMAS_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,29,30,1,0.1,201,0;1;2;3;4;5,2,0,220,38,80,12,1,0.3,1.2,2,10,1,0.55,1,0.9,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,10,,,,,,TRUE,0.15,,,,,,,,0.015#0.02#0.1#0.6,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AUG_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AUG_FEMALE_FULL_HD,,,,,0.25,0.25,,124,424,31;8;14,,,
25,M500,25,Icon_HUD_M500,SOUND_M500_FIRE,SOUND_M500_SILENCER,SOUND_M500_MIDDLERANGE,SOUND_M500_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_M500_CLIPIN,SOUND_M500_CLIPOUT,SOUND_SWITCH_WEAPON_HAND,2,0,,,45,5,1,0.32,202,0,1,0,220,60,80,20,0,2,1.15,2,10,1,0.85,1,1.2,,534,,SOUND_EQUIP,0.2,8,,,,,,TRUE,,,,,,,,,0.02#0.09#0.05#0.6,TRUE,2,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_HANDGUN_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_HANDGUN_FEMALE_FULL_HD,,,,,0.2,0.2,,125,425,28;13,40,60,-2
26,SVD,26,Icon_HUD_SVD,SOUND_SVD_FIRE,SOUND_SVD_SILENCER,SOUND_SVD_MIDDLERANGE,SOUND_SVD_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_SVD_CLIPOUT,SOUND_SVD_CLIPIN,SOUND_SWITCH_WEAPON_SNIPER,0,3,,,80,10,1,0.53,201,0;1;2;4,1,0.3,220,50,96,20,10,0.25,1.15,2,10,1,0.55,1,0.8,531;532;533;534;535;536;537,535,,SOUND_EQUIP,0.2,24,,,,,,FALSE,,0.4,,,,,,,0.005#0.018#0.25#0.6,TRUE,1,,,,,EFFECT_BULLET_SVD,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,126,426,42;6;2,,,
