id,name,icon_sprite,weapon_type,weapon_subtype,weapon_id,slot,damage,ammo_clip_size,fire_interval,multi_fire_interval,fire_type,single_shot_revise,bite_armor,range,full_damage_distance,min_damage_distance,min_damage,damage_increase,damage_increase_firemax,scatter_num,scatter_speed,scatter_speed_crouch_creep,scatter_move,scatter_max,scatter_recover_speed,shrink_speed,player_speed_factor,player_speed_factor_while_firing,once_ammo,reload_speed,auto_reload_speed,sight_on_sfx_maxonly,sight_off_sfx_maxonly,sight_icon,sight_ui,sight_ui_center,sight_ui_center_heal,sight_amplify_ratio,sight_fov_amplify_ratio,sight_ui_action_ratio,sight_ui_action_expand,sight_ui_action_recovery,sight_shoot_mindmg_numx,sight_move_num,sight_aim_assist,sight_aim_assist_snap_range,sight_aim_assist_dist_falloff,sight_aim_assist_distpriority,sight_aim_assist_distprio_min,sight_aim_assist_distprio_max,sight_aim_assist_distprio_coef,sight_rot_sensitiveness,sight_aim_assist_post_snap_range_coef,silencer,has_thermal_view,buff_id,sight_switch_time_scale,attachment_param1,des1,attachment_param2,des2,attachment_param3,des3,attachment_param4,des4,attachment_level,boost_damage,boost_damage_interval,extra_damage_rate
514,Magezine4,UI_icon_gun_part_3,7,0;1,,1,0,200,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.2,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,9,,,
515,Magezine5,UI_icon_gun_part_3,7,0;1,,1,0,300,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.2,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,9,,,
516,DoubleMagezine,UI_icon_gun_part_6,0;1;2;4;6;7;12,0;1;2;3:0;1:0;1;2:0:0;1:0;1:1,,1,0,140,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.4,2,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,3,,,
517,ChainMagezine,UI_icon_gun_part_Chainmagezine,0,0;1;2,,1,0,85,0.93,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.4,2,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,9,,,
521,Foregrip1,UI_icon_gun_part_2,0;1;2;4;6;12,0;1;2;3:0;1:0;1;2:0:0;1:1,,2,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,0.9,1,1,0.9,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,1,,,
522,Foregrip2,UI_icon_gun_part_2,0;1;2;4;6;12,0;1;2;3:0;1:0;1;2:0:0;1:1,,2,0,100,1,1,-1,-1,0,0,0,0,0,0,0,1,0.85,1,1,0.85,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,2,,,
523,Foregrip3,UI_icon_gun_part_2,0;1;2;4;6;12,0;1;2;3:0;1:0;1;2:0:0;1:1,,2,0,100,1,1,-1,-1,0,0,0,0,0,0,0,2,0.8,1,1,0.8,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,3,,,
524,Bipod,UI_icon_gun_Bipod,0;1;2;4;6;12,0;1;2;3:0;1:0;1;2:0:0;1:1,,2,0,100,1,1,-1,-1,0,0,0,0,0,0,0,2,1,0.33,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,9,,,
530,SightShield（shiedgun盾）,,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_ShieldGun,SOUND_Weapon_Aiming_ShieldGun_ZoomOut,,UI_GunSight_10,UI_GunSight_hit_crossha,,1,1,1.15,0.03,0.1,0,0.4,TRUE,0.09,5,FALSE,0,100,5,1.7,2.3,FALSE,FALSE,,1,,,,,,,,,9,,,
531,Sight1,UI_icon_gun_part_4,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,1,1,1.15,0.03,0.1,0,0.4,TRUE,0.09,5,FALSE,0,100,5,1.7,2.3,FALSE,FALSE,,1,,,,,,,,,1,,,
532,Sight2（红点）,UI_icon_gun_part_4,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_RedDot,SOUND_Weapon_Aiming_RedDot,Icon_GunSight_02,UI_GunSight_02,UI_GunSight_hit_crosshair,UI_GunSight_healgun_01,1,1.1,1.15,0.03,0.1,0,0.4,TRUE,0.09,5,FALSE,0,100,5,1.7,2.3,FALSE,FALSE,,1,,,,,,,,,1,,,
533,Sight3(全息）,UI_icon_gun_part_4,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,Icon_GunSight_03,UI_GunSight_03,UI_GunSight_hit_crosshair_03,,1,1.2,1.15,0.03,0.1,0,0.4,TRUE,0.09,5,FALSE,0,60,5,1.7,2.3,FALSE,FALSE,,1,,,,,,,,,1,,,
534,Sight4（二倍）,UI_icon_gun_part_4,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_2Xscope,SOUND_Weapon_Aiming_2Xscope,Icon_GunSight_04,UI_GunSight_04,UI_GunSight_hit_crosshair_04,UI_GunSight_healgun,2,1.5,1.15,0.03,0.1,3,0.4,TRUE,0.09,0.8,FALSE,0,80,1.5,1.5,2.3,FALSE,FALSE,,1,,,,,,,,,1,,,
535,Sight5（四倍）,UI_icon_gun_part_4,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_4Xscope,SOUND_Weapon_Aiming_4Xscope,Icon_GunSight_05,UI_GunSight_05,UI_GunSight_hit_crosshair_05,UI_GunSight_healgun_01,4,2.5,1.1,0.03,0.1,5,0.4,TRUE,0.07,0.5,FALSE,30,50,0.5,1.3,2.3,FALSE,FALSE,,1,,,,,,,,,1,,,
536,Sight6（八倍）,UI_icon_gun_part_4,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_4Xscope,SOUND_Weapon_Aiming_4Xscope,Icon_GunSight_06,UI_GunSight_06,UI_GunSight_hit_crosshair,,8,3.5,1.1,0.03,0.1,7,0.35,TRUE,0,0,FALSE,30,50,0.5,1.1,2.3,FALSE,FALSE,,1,,,,,,,,,1,,,
537,HeatSight（热成像）,UI_icon_gun_part_5,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_ThermalImaging,SOUND_Weapon_Aiming_ThermalImaging_ZoomOut,Icon_Gunsight_07,UI_GunSight_07,UI_GunSight_hit_crosshair_07,,1,2.45,1.1,0.03,0.1,0,0.4,TRUE,0.09,0.8,FALSE,0,80,1.5,1.5,2.3,FALSE,TRUE,,1,,,,,,,,,9,,,
538,HeatSightAWM（热成像AWM),UI_icon_gun_part_5,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_ThermalImaging,SOUND_Weapon_Aiming_ThermalImaging_ZoomOut,Icon_Gunsight_07,UI_GunSight_08,UI_GunSight_hit_crosshair_08,,8,3.5,1.1,0.03,0.1,7,0.35,TRUE,0,0,FALSE,30,50,0.5,1.1,2.3,FALSE,TRUE,,1,,,,,,,,,9,,,
539,ChargeSight(CG15),UI_icon_gun_part_4,0;1;2;4;6;12,0;1;2;3:0;1:0;1;2:0:0;1:1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_2Xscope,SOUND_Weapon_Aiming_2Xscope,Icon_GunSight_05,UI_GunSight_09,UI_GunSight_hit_crosshair,,4,2.5,1.75,0.06,0.1,5,0.4,TRUE,0.07,0.5,FALSE,30,50,0.5,1.3,2.3,FALSE,FALSE,,1,,,,,,,,,9,,,
541,Stock1,UI_icon_gun_stock,0;1;2;4;6;7,0;1;2;3:0;1:0;1;2:0:0;1:0;1,,4,0,100,1,1,-1,-1,0,0,1,2,0,0,0,0,1,1,1,1,1.1,0,0,0.05,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,1,,,
542,Stock2,UI_icon_gun_stock,0;1;2;4;6;7,0;1;2;3:0;1:0;1;2:0:0;1:0;1,,4,0,100,1,1,-1,-1,0,0,1,2,0,0,0,0,1,1,1,1,1.2,0,0,0.1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,2,,,
543,Stock3,UI_icon_gun_stock,0;1;2;4;6;7,0;1;2;3:0;1:0;1;2:0:0;1:0;1,,4,0,100,1,1,-1,-1,0,0,1,2,0,0,0,0,1,1,1,1,1.35,0,0,0.2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,3,,,
591,治疗枪二倍镜,UI_icon_gun_part_4,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,3,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,SOUND_Weapon_Aiming_2Xscope,SOUND_Weapon_Aiming_2Xscope,Icon_GunSight_04,UI_GunSight_04,UI_GunSight_hit_crosshair_04,UI_GunSight_healgun,2,1.5,1.15,0.03,0.1,3,0.4,TRUE,0.11,0.8,FALSE,0,80,1.5,1.5,2.5,FALSE,FALSE,,1,,,,,,,,,1,,,
5501,GoldMP5,Icon_HUD_Gold_MP5_Attachment,,,8,5,0,100,0.79,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5503,GoldM60,Icon_HUD_Gold_M60_Attachment,,,30,5,0,100,1,1,-1,-1,0,0,0,0,0,2,5,0,1,1,1,1,1,-0.015,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5504,GoldVSS,Icon_HUD_Gold_VSS_Attachment,,,13,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,24,1,,,,,,,,,8,,,
5505,GoldM14,Icon_HUD_Gold_M14_Attachment,,,11,5,0,100,0.87,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5506,GoldKar98K,Icon_HUD_Gold_Kar98K_Attachment,,,21,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,Icon_GunSight_06,UI_GunSight_06,UI_GunSight_hit_crosshair,,8,3.5,1.1,0.03,0.12,8,0.35,TRUE,0.03,0,FALSE,30,50,0.5,1.1,2.4,FALSE,FALSE,,0.8,,,,,,,,,8,,,
5507,Goldheat,Icon_HUD_Gold_Goldheat_Attachment,,,39,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,1,过热伤害增加系数a：damageup=a×(x/b)^2  （0<x<150),35,过热伤害控制系数b：damageup=a×(x/b)^2,1,过热恢复速度修正c：修正后=4-c,1,过热增加速度修正d：修正后=4-d,8,,,
5508,GoldAWM,Icon_HUD_Gold_GoldAWM_Attachmen,,,4,5,0,100,0.9,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,3,对护甲伤害增加的系数（1=100%）,,,,,,,8,,,
5511,GoldMP5(goldgun）,Icon_HUD_Gold_MP5_Attachment,,,60,5,0,100,0.76,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5513,GoldM60(goldgun）,Icon_HUD_Gold_M60_Attachment,,,61,5,0,100,1,1,-1,-1,0,0,0,0,0,2,5,0,1,1,1,1,1,-0.015,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5514,GoldVSS(goldgun）,Icon_HUD_Gold_VSS_Attachment,,,62,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,24,1,,,,,,,,,8,,,
5515,GoldM14(goldgun）,Icon_HUD_Gold_M14_Attachment,,,63,5,0,100,0.87,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5516,GoldKar98K(goldgun）,Icon_HUD_Gold_Kar98K_Attachment,,,64,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,Icon_GunSight_06,UI_GunSight_06,UI_GunSight_hit_crosshair,,8,3.5,1.1,0.03,0.12,8,0.35,TRUE,0.03,0,FALSE,30,50,0.5,1.1,2.4,FALSE,FALSE,,0.8,,,,,,,,,8,,,
5517,Goldheat(goldgun）,Icon_HUD_Gold_Goldheat_Attachment,,,66,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,1,过热伤害增加系数a：damageup=a×(x/b)^2  （0<x<150),35,过热伤害控制系数b：damageup=a×(x/b)^2,1,过热恢复速度修正c：修正后=4-c,1,过热增加速度修正d：修正后=4-d,8,,,
5518,GoldAWM(goldgun）,Icon_HUD_Gold_GoldAWM_Attachmen,,,65,5,0,100,0.9,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,3,对护甲伤害增加的系数（1=100%）,,,,,,,8,,,
5519,GoldFamas(goldgun）,Icon_HUD_Gold_FAMAS_Attachment,,,67,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,0.5,3,
5520,GoldM4A1-x(goldgun）,UI_icon_gun_Strengthen_Gunchip,,,80,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5521,GoldM4A1-y(goldgun）,UI_icon_gun_Strengthen_Gunchip,,,81,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5522,GoldM4A1-z(goldgun）,UI_icon_gun_Strengthen_Gunchip,,,82,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5523,GoldM60,Icon_HUD_Gold_M60_Attachment,,,122,5,0,100,1,1,-1,-1,0,0,0,0,0,3,4,0,1,1,1,1,1,-0.017,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5524,GoldM60,Icon_HUD_Gold_M60_Attachment,,,123,5,0,100,1,1,-1,-1,0,0,0,0,0,3,5,0,1,1,1,1,1,-0.019,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5525,GoldGroza,Icon_HUD_Gold_FAMAS_Attachment,,,70,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5526,GoldM249,Icon_HUD_Gold_MP5_Attachment,,,71,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
5527,GoldSVD,Icon_HUD_Gold_MP5_Attachment,,,72,5,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,8,,,
